Produit;Quantit‚;Prix d'achat;Prix de vente;Unit‚
1 carafe Gucci + 2 gucci ;0;2000;2500;unit‚
Africa 10 l tajplast ;0;916,67;1000;unit‚
Africa 10l Photo ;87;1250;1350;unit‚
Africa 15l tajplast ;0;1208,334;1300;unit‚
Africa 18l;118;1350;1500;unit‚
Africa 5l-Photo;170;700;800;unit‚
Alpha 10l;2;460;500;unit‚
Alpha 15l;190;660;750;unit‚
Alpha 20l;681;825;900;unit‚
Alpha 4l;0;220;250;unit‚
Antonoir 345;48;687,5;800;unit‚
Antonoir Grand ;94;220;300;unit‚
Antonoir Moyen;130;99,34;150;unit‚
Antonoir petit;123;76,38;100;unit‚
Assiette Bonjour;27434;45,8334;70,834;unit‚
Assiette Etoile ;619;60;70,8334;unit‚
Assiette Exotique 20;267;70,8344;75;unit‚
Assiette coeur ;0;187,5;225;unit‚
Ayen 1l bico ;0;166,67;200;unit‚
Ayen 1l trans ;22;175;250;unit‚
Ayen 2l bico;11;302,0834;400;unit‚
Ayen 3l bico;0;312,5;500;unit‚
Ayen 3l transp;0;350;500;unit‚
BB pieds petit;205;2200;2600;unit‚
BIDON 4L PL;129;450;600;unit‚
BIlal 2l;30;333,34;425;unit‚
BOL Exotique ;4;242,8155172;275;unit‚
BOL FRUIT 20 CM ;2;166,66;250;unit‚
BOL JUNIOR;199;208,3;250;unit‚
Baba Diarra;0;750;800;unit‚
Baby Cup;68;299,44;400;unit‚
Baignoire 11 piŠces Ifp;14;11500;12500;unit‚
Baignoire 12 piŠces Ifp;7;10500;11500;unit‚
Baignoire Pied ;5;16500;17500;unit‚
Baignoire Proplast ;2;12500;13500;unit‚
Baignoire Turquie ;2;27000;28500;unit‚
Baignoire toile ;0;17500;18500;unit‚
Baignoire toile Nouveau ;0;18000;19500;unit‚
Balle PM;120;66,67;75;unit‚
Bassine BB confort ;221;2350;2600;unit‚
Bassine Baby Douche ;301;1300;1500;unit‚
Bassine Fleur Bico;0;687,5;800;unit‚
Bassine Lolita;85;2000;2250;unit‚
Bassine Techno;0;1400;1500;unit‚
Belle Alpha 2l;1037;133,34;166,67;unit‚
Belle Alpha 3.5l;0;200;250;unit‚
Bico 10l TP;182;750;900;unit‚
Bico 15l Tp;2;900;1200;unit‚
Bico 1l Tp;24;175;250;unit‚
Bico 2l Tp;75;375;400;unit‚
Bico 3l TP;0;350;500;unit‚
Bidon 330ml;1129;50;65;unit‚
Bidon Bissap 250ml;1600;50;65;unit‚
Bissap 1l;47;90;100;unit‚
Bissap G1501;335;60;75;unit‚
Bissap G1502;108;100;125;unit‚
Bissap G1503;73;125;150;unit‚
Boite Bali;0;191,67;250;unit‚
Boite Coeur ;260;201,1113208;250;unit‚
Boite Double Ok;2;458,34;500;unit‚
Boite Original 780;331;175;200;unit‚
Boite Paris 2l;2;333,3344;350;unit‚
Boite Paris 3l;37;416,67;500;unit‚
Boite Paris 5l;107;541,67;800;unit‚
Boite Rond 500ml;0;62,5;83,33;unit‚
Boite Siyam 0.6;272;116,8383234;125;unit‚
Boite carr‚ 1000ml ;0;206,25;250;unit‚
Boite repas 23cm;12;333,34;400;unit‚
Boite repas 26cm;24;333,33;450;unit‚
Boite rond 150ml;162;35,16;50;unit‚
Boite rond 230ml;1430;40,741;66,67;unit‚
Bol  Kikou;0;700;800;unit‚
Bol 12;0;50;58,34;unit‚
Bol 1300ml;0;208,33;250;unit‚
Bol 17;30;221,8978102;225;unit‚
Bol 21;6;300;300;unit‚
Bol 3000ml;0;357,0704762;400;unit‚
Bol Dia 24 cm;17;200;225;unit‚
Bol Food;0;700;800;unit‚
Bol Italplast ;246;62,5;66,67;unit‚
Bol Kick;22;175;250;unit‚
Bol Tala ;12;125;200;
Bol top 1.2l;5;187,5;250;unit‚
Boss grand;0;708,33;1000;
Boss petit;3;250;400;unit‚
Bouba 32;695;291,66666;350;unit‚
Bouilloire 2.5l Tp;113;391,842766;425;unit‚
Bouilloire Allplast 2.5l;105;316,67;425;unit‚
Bouilloire Allplast 3.5;2;391,667;500;unit‚
Bouilloire enfants Tajplast ;74;229,17;275;unit‚
Bouteille 1.2l;7;250;300;unit‚
Bouteille 1l;120;162,5;200;unit‚
Bouteille Pharma 330;598;5583,333333;7000;unit‚
Bowl cup;0;1650;2000;unit‚
Box 25l;3;1950;2250;unit‚
CHAISE CLASSIC PL;0;6500;7500;unit‚
CHAISE ELEGANCE AVEC ACC PL;3;10000;12500;unit‚
CHAISE ELEGANCE SANS ACC PL;7;9000;11000;
CHAISE SOLEIL PL;7;3250;4500;unit‚
CHAISE SPIDER/HELLOKITTY/PAPILL;1;1100;1200;unit‚
CHAISE ZLATAN GRAND PL;9;5500;6000;unit‚
CHAISE ZLATAN MOYEN PL;0;4250;5500;unit‚
CHAISE ZLATAN PETIT PL;5;3250;4000;unit‚
CHEF CUISINE 0.3L;531;48,33;66,67;unit‚
Calao 27l;17;2205,461538;2250;unit‚
Carafe Diamant 2l;3;287,5;500;unit‚
Carafe Tayba 2l Bico;2;308,33;500;unit‚
Carafe Top 1l;43;250;325;unit‚
Chaise 5 toiles ;1;4000;5500;unit‚
Chaise Enfant Alu;22;2126,67;2500;unit‚
Chaise Enfant l‚phant ;0;1250;2000;unit‚
Chaise IFP ALU;0;6000;6500;unit‚
Chaise Mickey;0;917;1500;unit‚
Chaise Milano;0;3800;4000;unit‚
Chaise Peacock;73;4500;6000;unit‚
Chaise Pr‚sidentielle ;17;5500;8000;unit‚
Chaise TZ02;2;4200;5500;unit‚
Chaise YZ020;3;5500;6000;unit‚
Cherry GM;0;200;250;unit‚
Ciel 15l;47;1210;1300;unit‚
Ciel 20l;21;1200;1300;unit‚
Cobra 0.25l;84;40;54,17;unit‚
Cobra 0.5l;0;50,83;66,667;unit‚
Cobra 1l Bico;46;120,834;145,834;unit‚
Cofe Cup;2032;108,9;150;unit‚
Coin Magique ;16;2250;3000;unit‚
Contener 10l Italplast ;50;1100;1100;unit‚
Contener 50L Italplast;5;3500;4000;unit‚
Contener 50l Ok;3;3833,33;4250;unit‚
Contener 55l TP;6;3300;4250;unit‚
Contener 80l Italplast ;22;6500;6750;unit‚
Contener Italplast 15l;6;1500;1500;unit‚
Contener ok 27l;0;2650;3000;unit‚
Corbeille;61;350;450;unit‚
Cube 15l;92;900;1300;unit‚
Cube 1l;128;187,5;250;unit‚
Cube 6l;12;604,17;700;unit‚
Cuvette Bonoua;4;308,34;450;unit‚
Cuvette Cavally Stick;54;250;350;unit‚
Cuvette Dagaba ;3;345,834;450;unit‚
Cuvette Dougoutigui ;13;172;200;unit‚
Cuvette Honney ;0;437,5;600;unit‚
Cuvette Papillon ;22;791,67;800;unit‚
Degue 225;5400;55;65;unit‚
Denicasha 1/2kg;820;58,34;66,67;unit‚
Denicasha 1kg;625;90;100;unit‚
Diamond 34 cm;0;160;200;unit‚
Diamond 36;0;200;250;unit‚
Dubai 5;13;150;200;unit‚
Dubai 6;10;200;250;unit‚
Etagere Deluxe ;12;5125;5500;unit‚
Etagere Triangle;11;2000;2250;unit‚
Eventail;192;100;125;unit‚
Flower 15l;1;600;650;unit‚
Freez;29;218,75;250;unit‚
Garba 23;112;88,96215909;91,67;unit‚
Garba Italplast ;401;103;108,334;unit‚
Gbali Jean;2;900;1000;unit‚
Gobelet 0.25 TP;0;41,67;54,17;unit‚
Gobelet 0.35 TP;0;58,34;66,67;unit‚
Gobelet 0.5l TP;41;75;83,34;unit‚
Gobelet 1l Ancien ;71;125;145,84;unit‚
Gobelet 1l Nouveau ;160;117;145,84;unit‚
Gobelet Bissap 0.25l;18;50;50;unit‚
Gobelet Bonjour ;29382;45,834;62,5;unit‚
Gobelet Choco 0.35l;100;45,84;62,5;unit‚
Gobelet Choco 0.55l;982;75;83,34;unit‚
